id,name,shelter_type,latitude,longitude,total_capacity,current_occupancy,hazard_risk,road_accessibility,medical_distance,has_generator,has_water_filtration,has_medical_staff,is_active
1,Government District Central Relief Camp,Relief Camp Complex,11.418,76.715,3000,850,12.0,95.0,0.9,True,True,True,True
2,District Indoor Sports Stadium Shelter,Indoor Stadium,11.408,76.698,2500,600,15.0,92.0,1.4,True,True,True,True
3,Red Cross Community Relief Center,Community Hall,11.385,76.775,1800,450,18.0,90.0,2.1,True,True,True,True
4,Mettupalayam Multi-Hazard Evacuation Shelter,Dedicated Cyclone/Flood Shelter,11.398,76.845,2200,1100,22.0,88.0,2.8,True,True,True,True
5,Karamadai Model Higher Secondary Relief Base,Educational Complex,11.251,76.962,3500,700,8.0,98.0,1.8,True,True,True,True
6,Kotagiri Higher Secondary School Emergency Shelter,Educational Complex,11.432,76.875,1500,380,16.0,86.0,2.5,True,True,True,True
7,Sathyamangalam Government Arts College Relief Hub,College Campus,11.512,76.965,2800,520,14.0,94.0,2.2,True,True,True,True
8,Wellington Cantonment Community Center,Military Civic Hall,11.372,76.792,1600,300,10.0,96.0,1.1,True,True,True,True
9,Gudalur St. Mary Higher Secondary Relief Station,Educational Complex,11.512,76.488,2000,650,20.0,82.0,2.0,True,True,True,True
10,Annur Taluk Emergency Relief Center,Taluk Administrative Hall,11.238,77.112,3200,400,6.0,99.0,1.3,True,True,True,True
